r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.2172787264885195,1,0,(2*x1 + 2*x2)/(-8.81721e-5*x1**3 + 0.000487871*x1**2*x2 + 0.0129123*x1**2 - 0.00046729*x1*x2**2 - 0.0701342*x1*x2 - 0.423369*x1 + 0.066698*x2**2 + 4.15784*x2 + 3.33333),"div,add,x1,add,add,x2,x2,x1,3.33333+4.15784*x2-0.423369*x1+0.066698*x2**2-0.0701342*x1*x2+0.0129123*x1**2-0.00046729*x1*x2**2+0.000487871*x1**2*x2-8.81721e-05*x1**3",12.977166029156121,12.977166029156121,False
0.21588993370069431,1,0,log(x1*exp(x1*log((-1.25745e-6*x1**3 + 0.000271799*x1**2 - 6.79546e-6*x1*x2**2 + 0.000407468*x1*x2 - 0.0218415*x1 - 2.58513e-6*x2**3 + 0.00112508*x2**2 - 0.055832*x2 + 1.68799)*log(log(x1))))),"log,mul,x1,exp,mul,x1,log,mul,1.68799-0.055832*x2-0.0218415*x1+0.00112508*x2**2+0.000407468*x1*x2+0.000271799*x1**2-2.58513e-06*x2**3-6.79546e-06*x1*x2**2-1.25745e-06*x1**3,log,log,x1",13.191350888969769,13.191350888969769,False
0.20377327710050525,1,0,x1*cos(x1)/(x2/cos(x2) + log(x1)),"div,cos,x1,div,add,div,x2,cos,x2,log,x1,x1",15.267890576975143,15.267890576975143,False
0.19282942373812675,1,0,log(log(x1) + (x2 + exp(x2) - cos(x2))/x1),"log,add,log,x1,div,sub,x2,sub,cos,x2,exp,x2,x1",17.522014591025023,17.522014591025023,False
0.18742579359392353,1,0,x2 + log(cos(log(log(x1)))),"add,x2,log,cos,log,log,x1",18.79608273264626,18.79608273264626,False
0.18400777617723085,1,0,x2 - exp(sin(x1*exp(x1)*exp(-x2))),"sub,x2,exp,sin,div,exp,x1,div,add,sub,add,exp,x2,sub,x1,x2,x1,x2,x1",19.665259729133727,19.665259729133727,False
0.1812150148327414,1,0,x2 - cos(x2 + exp(x1)),"sub,x2,cos,add,x2,exp,x1",20.41509391472057,20.41509391472057,False
0.18107061761760793,1,0,x2 - sin(x2**2*(x1**2/(-x1 + x2 + log(x1*exp(-x1))) - x2)),"sub,x2,sin,mul,mul,sub,div,x1,div,sub,add,log,div,x1,exp,x1,x2,x1,x1,x2,x2,x2",20.454880235833834,20.454880235833834,False
0.18095468595302633,1,0,x2 + cos(exp(x2)),"add,x2,cos,exp,x2",20.48689737818083,20.48689737818083,False
0.1807838961495425,1,0,x2 + cos(x2*(x1 + x2*exp(x2 + exp(-x1 + x2)))*log(x1)),"add,x2,cos,mul,log,x1,mul,add,x1,mul,exp,add,exp,sub,x2,x1,x2,x2,x2",20.534185367515594,20.534185367515594,False
0.18056711739523434,1,0,x2 + exp(1.0*cos(x1*exp(-x1)))*cos(exp(x2)),"add,mul,cos,exp,x2,exp,mul,cos,exp,add,sub,log,x1,add,x1,x2,x2,1.0,x2",20.594414298173486,20.594414298173486,False
